judul,sumber,tanggal,episode,label_leksikon,label_audit
"Pengusaha Pelanggar Aturan Pengerukan Pasir Laut Hanya Kena Sanksi Administratif, DPR: Negara Terlalu Lemah",Tempo.co,2023-06-12 07:00:00,E1_pp_disahkan,menolak,
Pasir laut untuk kebutuhan bahan bangunan,ANTARA Foto,2025-11-11 08:00:00,E4_pasca_putusan_ma,netral,
2 Kapal Berbendera Singapura Curi Pasir Laut di Batam,MetroTVNews.com,2024-10-17 07:00:00,E3_ekspor_dibuka,netral,
"Bisnis Seksi Ekspor Pasir Laut, Singapura Sudah Siap Anggaran Jumbo?",SWA.co.id,2023-06-14 07:00:00,E1_pp_disahkan,netral,
"Ekspor Pasir Laut di Kepri Masih Dilarang, Aturan Teknis Belum Dibahas",Batamnews,2023-08-10 07:00:00,E1_pp_disahkan,netral,
"IPR Pasir Laut di Pulau Babi Disebut Terhambat 'Kuota' Eksplorasi, Kontribusi PAD Diandalkan",kepripedia.com,2025-09-25 07:00:00,E4_pasca_putusan_ma,netral,
"Foto : Pemerintah Perlu Tindak Tegas Pengeruk Pasir Laut, Beri Efek Jera",Kompas.com,2025-01-29 08:00:00,E3_ekspor_dibuka,menolak,
"Program Kampung Nelayan Merah Putih di Tanggamus Dikritik Warga, Diduga Gunakan Pasir Laut Lokal untuk Pembangunan",Sinar Lampung,2026-07-21 07:00:00,E4_pasca_putusan_ma,menolak,
Seriuslah Mencegah Penambangan Pasir Laut,AJNN.net,2025-10-18 07:00:00,E4_pasca_putusan_ma,netral,
KKP amankan kapal penambang pasir laut ilegal,ANTARA Foto,2023-09-13 07:00:00,E1_pp_disahkan,netral,
